brand,price_pro_formula,price_ref_formula,duty,price_target_formula,discount,set_val,postage,exchange_rate
MAISON MARGIELA M,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.25,0.09,0,1
Emporio Armani ,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.25,0.09,0,1
Emporio Armani M,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.25,0.09,0,1
FENDI ,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.25,0.09,0,1
FENDI M,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.25,0.09,0,1
MM6 MAISON MARGIELA,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.25,0.09,0,1
MM6 MAISON MARGIELA M,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.25,0.09,0,1
ISABEL MARANT,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.25,0.09,0,1
ISABEL MARANT M　,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.25,0.09,0,1
ISABEL MARANT ETOILE,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.25,0.09,0,1
ISABEL MARANT ETOILE M　,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.25,0.09,0,1
N°21,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.25,0.09,0,1
N°21 M,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.25,0.09,0,1
LOVE MOSCHINO,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.25,0.09,0,1
LOVE MOSCHINO M,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.25,0.09,0,1
Giuseppe Zanotti,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.25,0.09,0,1
Giuseppe Zanotti M,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.25,0.09,0,1
Michael Kors,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.25,0.09,0,1
Michael Kors M,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.25,0.09,0,1
Msgm,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.3,0.09,0,1
Msgm M,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.3,0.09,0,1
RICK OWENS,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.25,0.09,0,1
RICK OWENS M,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.25,0.09,0,1
RICK OWENS DARKSHADOW,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.25,0.09,0,1
RICK OWENS DARKSHADOW M,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.25,0.09,0,1
NEIL BARRETT M,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.25,0.09,0,1
Red valentino,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.25,0.09,0,1
Red valentino M,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.25,0.09,0,1
Bottega veneta,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.2,0.09,0,1
Bottega veneta M,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.2,0.09,0,1
Christian Louboutin,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.2,0.09,0,1
Christian Louboutin M,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.2,0.09,0,1
GCDS,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.25,0.09,0,1
GCDS M,"ROUNDUP(AU_,-2)","FLOOR(AT_/1.2/120*1.22,5)*130","ROUNDDOWN(ROUNDDOWN(AE_*1.22/124.066,0),-2)",(AT_*BC_*(100%-AW_)+BC_*AY_)/(100%-5.5%-AX_),0.25,0.09,0,1
